Transect,Position_m,Depth_cm,Notes,Date
T5,0,78,,9/24/14
T5,2.5,103,,9/24/14
T5,5,82,,9/24/14
T5,7.5,94,,9/24/14
T5,10,110,,9/24/14
T5,12.5,109,,9/24/14
T5,15,94,,9/24/14
T5,17.5,92,,9/24/14
T5,20,65,,9/24/14
T5,22.5,91,,9/24/14
T5,25,104,,9/24/14
T5,27.5,80,,9/24/14
T5,30,96,,9/24/14
T5,32.5,89,,9/24/14
T5,35,95,,9/24/14
T5,37.5,113,,9/24/14
T5,40,119,,9/24/14
T5,42.5,145,,9/24/14
T5,45,148,,9/24/14
T5,47.5,,rock,9/24/14
T5,50,>150,,9/24/14
T6,0,113,,9/24/14
T6,2.5,84,,9/24/14
T6,5,77,,9/24/14
T6,7.5,92,,9/24/14
T6,10,124,,9/24/14
T6,12.5,128,,9/24/14
T6,15,132,,9/24/14
T6,17.5,127,,9/24/14
T6,20,113,,9/24/14
T6,22.5,125,,9/24/14
T6,25,102,,9/24/14
T6,27.5,82,,9/24/14
T6,30,95,,9/24/14
T6,32.5,89,,9/24/14
T6,35,85,,9/24/14
T6,37.5,106,,9/24/14
T6,40,126,,9/24/14
T6,42.5,140,,9/24/14
T6,45,>150,,9/24/14
T7,0,118,,9/24/14
T7,2.5,86,,9/24/14
T7,5,86,,9/24/14
T7,7.5,100,,9/24/14
T7,10,71,,9/24/14
T7,12.5,122,,9/24/14
T7,15,102,,9/24/14
T7,17.5,80,,9/24/14
T7,20,82,,9/24/14
T7,22.5,93,,9/24/14
T7,25,69,,9/24/14
T7,27.5,93,,9/24/14
T7,30,93,,9/24/14
T7,32.5,97,,9/24/14
T7,35,85,,9/24/14
T7,37.5,102,,9/24/14
T7,40,106,,9/24/14
T7,42.5,104,,9/24/14
T7,45,111,,9/24/14
T7,47.5,134,,9/24/14
T7,50,89,rock,9/24/14
T7,52.5,>150,,9/24/14
T8,0,65,,9/24/14
T8,2.5,60,,9/24/14
T8,5,57,,9/24/14
T8,7.5,60,,9/24/14
T8,10,67,,9/24/14
T8,12.5,70,,9/24/14
T8,15,65,,9/24/14
T8,17.5,63,,9/24/14
T8,20,67,,9/24/14
T8,22.5,63,,9/24/14
T8,25,68,,9/24/14
T8,27.5,68,,9/24/14
T8,30,68,,9/24/14
T8,32.5,70,,9/24/14
T8,35,83,,9/24/14
T8,37.5,111,,9/24/14
T8,40,126,,9/24/14
T8,42.5,134,,9/24/14
T8,45,>150,,9/24/14
T8,47.5,>150,,9/24/14
T9,0,56,,9/24/14
T9,2.5,59,,9/24/14
T9,5,69,,9/24/14
T9,7.5,61,,9/24/14
T9,10,71,,9/24/14
T9,12.5,46,,9/24/14
T9,15,47,,9/24/14
T9,17.5,69,,9/24/14
T9,20,69,,9/24/14
T9,22.5,70,,9/24/14
T9,25,67,,9/24/14
T9,27.5,70,,9/24/14
T9,30,60,,9/24/14
T9,32.5,71,,9/24/14
T9,35,98,,9/24/14
T9,37.5,112,,9/24/14
T9,40,122,,9/24/14
T9,42.5,149,,9/24/14
T9,45,140,,9/24/14
T9,47.5,>150,,9/24/14
