Plot,Species,DBH_cm,Notes
X1,BEPA,21,
X1,PIGL,11.2,
X1,BEPA,28.1,
X1,PIGL,15.5,X1-3
X1,BEPA,22.2,
X1,PIGL,13.1,X1-1
X1,BEPA,12.5,
X1,BEPA,19.1,
X2,PIGL,13.7,X2-1
X2,BEPA,9.9,
X2,POTR,13.6,
X2,BEPA,9.1,
X2,POTR,17,
X2,PIGL,17.7,X2-2
X2,BEPA,16.8,
X2,BEPA,11.9,
X2,PIGL,3.3,
X2,PIGL,1.2,
X2,PIGL,1.7,
X3,PIMA,9.3,
X3,PIMA,12.7,
X3,PIMA,8.4,
X3,PIMA,7.3,
X3,PIMA,5,
X3,PIMA,9.1,
X3,PIMA,10.5,X3-2
X3,PIMA,4.6,
X3,PIMA,6.8,
X3,PIMA,13.6,X3-3
X3,PIMA,2,
X3,PIMA,12.2,
X3,PIMA,2.7,
X3,PIMA,1.8,
X3,PIMA,6.1,
X3,PIMA,9,
X3,PIMA,11.2,
X3,PIMA,15.4,
X3,PIMA,5.4,
X3,PIMA,3.1,
X3,PIMA,2.8,
X3,PIMA,9.8,
X3,PIMA,12,
X3,PIMA,3.9,
X3,PIMA,10.3,
X3,PIMA,13.6,X3-4
X3,PIMA,10.9,
X3,PIMA,3.6,
X3,PIMA,11.9,X3-1
X3,PIMA,12.3,
X3,BEPA,17,
X3,PIMA,5,
X3,PIMA,10.6,
X3,PIMA,8.5,
X3,PIMA,10.9,
X4,PIMA,13.5,X4-1
X4,PIMA,4.4,
X4,PIMA,2.8,
X4,PIMA,7.6,X4-2
X4,PIMA,3.9,
X4,PIMA,8.8,X4-3
X4,PIMA,5.7,
X5,PIGL,21.2,X5-1
X5,POTR,12.1,
X5,PIGL,11.5,
X5,PIGL,14.8,X5-2
X5,PIGL,3.6,
X5,BEPA,27.2,
X5,PIGL,13.1,X5-4
X6,PIMA,13.8,X6-1
X6,PIMA,11.3,X6-2
X6,PIMA,6.8,X6-3
X6,PIMA,1.6,
X7,PIMA,9.9,X7-1
X7,PIMA,5.8,
X7,PIMA,11,X7-2
X7,PIMA,7.1,
X7,PIMA,7.4,
X7,PIMA,8.7,
X7,PIMA,3.9,
X7,PIMA,4.7,
X7,PIMA,8.9,X7-3
X7,PIMA,3,
X7,PIMA,5.5,
X7,PIMA,9.3,
X7,PIMA,8.6,X7-4
X8,PIMA,19.1,X8-1
X8,PIMA,7.8,
X8,PIMA,6.8,
X8,PIMA,9.4,X8-2
X8,PIMA,6.2,
X8,PIMA,7.7,
X8,PIMA,11.3,X8-3
X8,PIMA,4.7,
X8,PIMA,5.4,
X8,PIMA,6.8,
X8,PIMA,15.7,X8-4
X9,PIMA,4.3,
X9,PIMA,2,
X9,PIMA,2,
X9,PIMA,4.1,
X9,PIMA,8.2,X9-2
X9,PIMA,1.2,
X9,PIMA,8.4,
X9,PIMA,3.4,
X9,PIMA,1.2,
X9,PIMA,3.2,
X9,PIMA,1.9,
X9,PIMA,3.8,
X9,PIMA,1.4,
X9,PIMA,7.1,
X9,PIMA,2.8,
X9,PIMA,1,
X9,PIMA,1,
X9,PIMA,1.7,
X9,PIMA,10,
X9,PIMA,1.2,
X9,PIMA,2.4,
X9,PIMA,5.5,
X9,PIMA,1,
X9,PIMA,3.9,
X9,PIMA,8.5,
X9,PIMA,2.5,
X9,PIMA,2.2,
X9,PIMA,1,
X9,PIMA,1,
X9,PIMA,6.7,
X9,PIMA,3,
X9,PIMA,3.4,
X9,PIMA,8.4,X9-1
X9,PIMA,6.9,
X9,PIMA,1.5,
X9,PIMA,3.3,
X9,PIMA,3.8,
X9,PIMA,1,
X9,PIMA,6.1,
X9,PIMA,1,
X9,PIMA,4.9,
X9,PIMA,6.5,
X9,PIMA,1.5,
X9,PIMA,1.5,
X9,PIMA,1,
X9,PIMA,3.6,
X9,PIMA,10.5,X9-3
X9,PIMA,6.6,
X9,PIMA,2.9,
X9,PIMA,3.9,
X9,PIMA,3.5,
X9,PIMA,2.4,
X9,PIMA,2,
X9,PIMA,2.5,
X9,PIMA,1.5,
X9,PIMA,4.5,
X9,PIMA,5.4,
X9,PIMA,1,
X9,PIMA,3.8,
X9,PIMA,6.2,
X9,PIMA,5.2,
X9,PIMA,6.8,X9-4
X9,PIMA,1,
X9,PIMA,4.3,
X9,PIMA,1,
X9,PIMA,1,
X9,PIMA,3.8,
X9,PIMA,6.1,
X9,PIMA,1,
X9,PIMA,4.4,
X9,PIMA,3.6,
X9,PIMA,2.5,
X9,PIMA,5.3,
X9,PIMA,7.3,
X9,PIMA,4.5,
X9,PIMA,3.3,
X9,PIMA,1,
X9,PIMA,1.5,
X9,PIMA,2.5,
X9,PIMA,4.9,
X9,PIMA,1.4,
X9,PIMA,3.2,
X9,PIMA,6.2,
X9,PIMA,2.5,
X9,PIMA,4.9,
X9,PIMA,4.2,
X10,BEPA,15.9,
X10,BEPA,17.8,
X10,BEPA,11.5,
X10,BEPA,6.6,
X10,BEPA,19.2,
X10,BEPA,14.4,
X10,BEPA,8.9,
X10,BEPA,12.1,
X10,BEPA,7.6,
X10,PIMA,8.4,X10-1
X10,PIMA,2.3,
X10,PIMA,4.2,
X10,PIMA,1.3,
X10,BEPA,15.3,
X10,BEPA,16.7,
X10,BEPA,18,
X10,BEPA,10.2,
X10,BEPA,5.4,
X11,PIMA,9.4,X11-1
X11,PIMA,1.5,
X11,PIMA,4.4,
X11,PIMA,2.3,
X11,PIMA,3.5,
X11,PIMA,1.2,
X11,PIMA,3.9,
X11,PIMA,1,
X11,PIMA,3,
X11,PIMA,3.2,
X11,PIMA,1.5,
X11,PIMA,8.5,X11-2
X11,PIMA,3.8,
X11,PIMA,2.9,
X11,PIMA,2.3,
X11,PIMA,6.2,X11-3
X11,PIMA,1,
X11,PIMA,1.5,
X11,PIMA,5.8,
X11,PIMA,7,
X11,PIMA,1.5,
X11,PIMA,5,
X11,PIMA,4.4,
X11,PIMA,7.3,X11-4
X11,PIMA,3.9,
X11,PIMA,2.7,
X11,PIMA,5,
X11,PIMA,5,
X11,PIMA,4.9,
X11,PIMA,2.9,
X11,PIMA,3,
X11,PIMA,2.9,
X11,PIMA,2,
X11,PIMA,1.5,
X11,PIMA,2.7,
X12,PIMA,11.6,X12-1
X12,PIMA,4.5,
X12,PIMA,5.3,
X12,PIMA,4.1,
X12,PIMA,11.6,X12-2
X12,PIMA,8.4,
X12,PIMA,4.5,
X12,PIMA,3,
X12,PIMA,3.6,
X12,PIMA,2.6,
X12,PIMA,14.7,X12-3
X12,PIMA,11.4,X12-4
X12,PIMA,5.1,
X12,PIMA,4,
X12,PIMA,1,
X12,PIMA,1.5,
X12,PIMA,1.5,
X12,PIMA,1,
X12,PIMA,1.5,
X12,PIMA,3.2,
X12,PIMA,11.6,
X12,PIMA,10.7,
X12,PIMA,10.8,
X12,PIMA,12.2,
X12,PIMA,2.5,
X12,PIMA,9.7,
X12,PIMA,2.5,
X12,PIMA,1.2,
X12,PIMA,3.8,
X12,PIMA,6.2,
X12,PIMA,8.2,
X12,PIMA,7.9,
X12,PIMA,4.9,
X12,PIMA,3.6,
X12,PIMA,9.8,
X12,PIMA,6.1,
X12,PIMA,6.3,
X12,PIMA,10.2,
X12,PIMA,4.3,
X12,PIMA,6,
