Plot,Core,Species,DBH_cm,Notes
X1,X1-1,PIGL,13.1,Northwest side of tree at breast height
X1,X1-2,PIGL,17.7,Northwest side of tree at breast height
X1,X1-3,PIGL,15.5,Northwest side of tree at breast height
X1,X1-4,PIGL,19.6,Northwest side of tree at breast height
X2,X2-1,PIGL,13.7,Northwest side of tree at breast height
X2,X2-2,PIGL,17.7,Northwest side of tree at breast height
X2,X2-3,PIGL,25.5,Northwest side of tree at breast height
X2,X2-4,PIGL,14.1,Northwest side of tree at breast height
X3,X3-1,PIMA,11.9,Northwest side of tree at breast height
X3,X3-2,PIMA,10.5,Northwest side of tree at breast height
X3,X3-3,PIMA,13.6,Northwest side of tree at breast height
X3,X3-4,PIMA,13.6,Northwest side of tree at breast height
X4,X4-1,PIMA,13.5,Northwest side of tree at breast height
X4,X4-2,PIMA,7.6,Northwest side of tree at breast height
X4,X4-3,PIMA,8.8,Northwest side of tree at breast height
X4,X4-4,PIMA,13.1,Northwest side of tree at breast height
X5,X5-1,PIGL,21.2,Northwest side of tree at breast height
X5,X5-2,PIGL,14.8,Northwest side of tree at breast height
X5,X5-3,PIGL,4.9,Northwest side of tree at breast height
X5,X5-4,PIGL,13.1,Northwest side of tree at breast height
X6,X6-1,PIMA,13.8,Northwest side of tree at breast height
X6,X6-2,PIMA,11.3,Northwest side of tree at breast height
X6,X6-3,PIMA,6.8,Northwest side of tree at breast height
X6,X6-4,PIMA,13,Northwest side of tree at breast height
X7,X7-1,PIMA,9.9,Northwest side of tree at breast height
X7,X7-2,PIMA,11,Northwest side of tree at breast height
X7,X7-3,PIMA,8.9,Northwest side of tree at breast height
X7,X7-4,PIMA,8.6,Northwest side of tree at breast height
X8,X8-1,PIMA,19.1,Northwest side of tree at breast height
X8,X8-2,PIMA,9.4,Northwest side of tree at breast height
X8,X8-3,PIMA,11.3,Northwest side of tree at breast height
X8,X8-4,PIMA,15.7,Northwest side of tree at breast height
X9,X9-1,PIMA,8.4,Northwest side of tree at breast height
X9,X9-2,PIMA,8.2,Northwest side of tree at breast height
X9,X9-3,PIMA,10.5,Northwest side of tree at breast height
X9,X9-4,PIMA,6.8,Northwest side of tree at breast height
X10,X10-1,PIGL,8.4,Northwest side of tree at breast height
X10,X10-2,PIGL,4.7,Northwest side of tree at breast height
X10,X10-3,PIGL,5.4,Northwest side of tree at breast height
X10,X10-4,PIGL,4.7,Northwest side of tree at breast height
X11,X11-1,PIMA,9.4,Northwest side of tree at breast height
X11,X11-2,PIMA,8.5,Northwest side of tree at breast height
X11,X11-3,PIMA,6.2,Northwest side of tree at breast height
X11,X11-4,PIMA,7.3,Northwest side of tree at breast height
X12,X12-1,PIMA,11.6,Northwest side of tree at breast height
X12,X12-2,PIMA,11.6,Northwest side of tree at breast height
X12,X12-3,PIMA,14.7,Northwest side of tree at breast height
X12,X12-4,PIMA,11.4,Northwest side of tree at breast height
