FlatNeedle,GroupCode,Transect,Position_m,Species,LeafNumber,WeightFresh_g,WeightDry_g,Length_cm,SurfaceArea_cm2
Flat,1,T5,45,ALSP,1,0.2743,0.1879,6.4,23.166
Flat,1,T5,45,ALSP,2,0.2999,0.2245,7.2,29.609
Flat,1,T5,45,ALSP,3,0.2253,0.1625,5.6,19.36
Flat,1,T5,45,ALSP,4,0.2983,0.2032,6.4,25.495
Flat,1,T5,45,ALSP,5,0.237,0.1765,6.1,23.005
Flat,1,T5,45,ALSP,6,0.1492,0.1137,5.9,16.955
Flat,1,T5,45,ALSP,7,0.2686,0.1995,6.4,24.309
Flat,1,T5,45,ALSP,8,0.2343,0.1821,6.7,24.82
Flat,1,T5,45,ALSP,9,0.2873,0.2265,7.2,27.893
Flat,1,T5,45,ALSP,10,0.3663,0.2715,7.9,34.45
Flat,2,T5,60,ALSP,1,0.318,0.1896,8.5,28.761
Flat,2,T5,60,ALSP,2,0.2879,0.1514,7.3,27.18
Flat,2,T5,60,ALSP,3,0.4087,0.2401,7.2,34.582
Flat,2,T5,60,ALSP,4,0.2461,0.1456,5.9,22.448
Flat,2,T5,60,ALSP,5,0.2505,0.1472,7.3,26.408
Flat,2,T5,60,ALSP,6,0.4735,0.3108,8,44.793
Flat,2,T5,60,ALSP,7,0.3885,0.244,7.7,36.39
Flat,2,T5,60,ALSP,8,0.3548,0.2033,8.5,35.177
Flat,2,T5,60,ALSP,9,0.2188,0.1492,5.6,21.88
Flat,2,T5,60,ALSP,10,0.4398,0.2727,7.2,41.907
Flat,3,T5,75,ALSP,1,0.2948,0.1735,8.2,34.619
Flat,3,T5,75,ALSP,2,0.1511,0.0912,6.4,21.416
Flat,3,T5,75,ALSP,3,0.4468,0.2864,7.7,44.771
Flat,3,T5,75,ALSP,4,0.2253,0.1447,7,32.959
Flat,3,T5,75,ALSP,5,0.2152,0.1227,6.9,25.554
Flat,3,T5,75,ALSP,6,0.2493,0.1542,7.9,34.236
Flat,3,T5,75,ALSP,7,0.2287,0.1241,6.4,24.339
Flat,3,T5,75,ALSP,8,0.2934,0.1899,7.9,40.675
Flat,3,T5,75,ALSP,9,0.2636,0.1486,7.9,35.082
Flat,3,T5,75,ALSP,10,0.2922,0.1727,8.9,37.034
Flat,4,T5,75,BEPA,1,0.252,0.1596,6.4,22.951
Flat,4,T5,75,BEPA,2,0.2619,0.1491,5.4,21.099
Flat,4,T5,75,BEPA,3,0.1862,0.1124,4.5,18.545
Flat,4,T5,75,BEPA,4,0.2612,0.1599,6,21.161
Flat,4,T5,75,BEPA,5,0.264,0.1584,5,22.541
Flat,4,T5,75,BEPA,6,0.1998,0.1291,5.9,18.785
