TRY Data Explorer Output	2015-3-6
Trait List

TraitID	Trait	ObsNum	ObsGRNum	PubNum	AccSpecNum	
617	Bark carbon (C) content per bark dry mass	452	452	13	28	
829	Bark carbon (C) isotope signature (delta 13C)	13	13	13	1	
830	Bark carbon/nitrogen (C/N) ratio	13	13	13	1	
831	Bark crystal types	3593	3543	3593	1668	
248	Bark density	737	737		278	
618	Bark nitrogen (N) content per bark dry mass	451	451	13	28	
832	Bark nitrogen (N) isotope signature (delta 15N)	13	13	13	1	
833	Bark persistence (chunk deciduous yes/no) 	1485	1485	1485	451	
619	Bark phosphorus (P) content per bark dry mass	425	425		26	
834	Bark sclereids arrangement	3874	3812	3874	1869	
835	Bark secondary compounds presence: oil, tannins, latex, slime	2079	2056	2079	1056	
836	Bark sieve tubes grouping	4495	4394	4495	2634	
837	Bark structure 	4709	4626	4709	2651	
838	Bark surface structure 	2041		2041	1606	
24	Bark thickness	8481	7923	7726	803	
839	Bark thickness per stem diameter	372	372		14	
447	Branch carbon (C) content per branch dry mass	10	10	10	1	
840	Branch coarse woody debris (CWD) calcium (Ca) content per branch CWD dry mass	51	51	51	11	
841	Branch coarse woody debris (CWD) carbon (C) content per branch CWD dry mass	83	83	83	11	
842	Branch coarse woody debris (CWD) carbon/nitrogen (C/N) ratio 	91	91	91	14	
843	Branch coarse woody debris (CWD) cellulose content per branch CWD dry mass	1	1	1	1	
844	Branch coarse woody debris (CWD) copper (Cu) content per branch CWD dry mass	3	3	3	3	
845	Branch coarse woody debris (CWD) decomposition rate 	122	122	122	34	
846	Branch coarse woody debris (CWD) decomposition rate constant 	394	394	394	64	
847	Branch coarse woody debris (CWD) density	76	76	76	20	
848	Branch coarse woody debris (CWD) hemicellulose content per branch CWD dry mass	2	2	2	1	
849	Branch coarse woody debris (CWD) iron (Fe) content per branch CWD dry mass	8	8	8	4	
850	Branch coarse woody debris (CWD) lignin content per branch CWD dry mass	8	8	8	6	
851	Branch coarse woody debris (CWD) lignin/nitrogen (lignin/N) ratio 	20	20	20	3	
852	Branch coarse woody debris (CWD) magnesium (Mg) content per branch CWD dry mass	50	50	50	10	
853	Branch coarse woody debris (CWD) manganese (Mn) content per branch CWD dry mass	17	17	17	5	
854	Branch coarse woody debris (CWD) nitrogen (N) content per branch CWD dry mass	130	130	130	19	
855	Branch coarse woody debris (CWD) phosphorus (P) content per branch CWD dry mass	59	59	59	12	
856	Branch coarse woody debris (CWD) potassium (K) content per branch CWD dry mass	65	65	65	15	
857	Branch coarse woody debris (CWD) rot type	5	5	5	3	
858	Branch coarse woody debris (CWD) sodium (Na) content per branch CWD dry mass	7	7	7	4	
859	Branch coarse woody debris (CWD) sulfur (S) content per branch CWD dry mass	6	6	6	3	
860	Branch coarse woody debris (CWD) zinc (Zn) content per branch CWD dry mass	5	5	5	1	
448	Branch dry mass per ground area	161	26	26	11	
449	Branch dry mass per plant	1091	1091	1091	15	
137	Branch dry mass per plant dry mass	40	40	5	37	
450	Branch nitrogen (N) content per branch dry mass	42	27	27	6	
443	Branch nitrogen (N) content per branch dry mass per leaf nitrogen (N) content per leaf dry mass	1	1	1	1	
451	Branch nitrogen (N) content per ground area	6	6	6	1	
452	Branch nitrogen (N) content per plant	3	3	3	1	
861	Branch number of secondary branches at first branching	2365	2365		34	
862	Branch number per height along the shoot axis	4103	4103		5	
863	Branch phosphorus (P) content per branch dry mass 	1			1	
864	Branch potassium (K) content per branch dry mass	1			1	
442	Branch respiration rate per branch dry mass	104	104	104	5	
444	Branch respiration rate per branch nitrogen (N) content	54	54	54	2	
446	Branch respiration rate per branch surface area	100	100	100	4	
453	Branch respiration rate per branch volume	2	2	2	1	
445	Branch respiration temperature dependence	80	80	80	2	
153	Budbank height distribution	70444		69505	3025	
865	Budbank seasonality 	49288		49288	2877	
643	Coarse root aluminium (Al) content per coarse root dry mass	1	1		1	
649	Coarse root antimony (Sb) content per coarse root dry mass	1	1		1	
657	Coarse root arsenic (As) content per coarse root dry mass	1	1		1	
651	Coarse root cadmium (Cd) content per coarse root dry mass	1	1		1	
641	Coarse root calcium (Ca) content per coarse root dry mass	1	1		1	
456	Coarse root carbon (C) content per coarse root dry mass	4	4	4	1	
166	Coarse root carbon/nitrogen (C/N) ) ratio	46	46		46	
658	Coarse root chromium (Cr) content per coarse root dry mass	1	1		1	
654	Coarse root copper (Cu) content per coarse root dry mass	1	1		1	
458	Coarse root dry mass per plant	269	269	269	11	
465	Coarse root dry mass per plant dry mass	10	10	10	4	
457	Coarse root dry mass per unit ground area	26	26	26	3	
644	Coarse root iron (Fe) content per coarse root dry mass	1	1		1	
652	Coarse root lead (Pb) content per coarse root dry mass	1	1		1	
642	Coarse root magnesium (Mg) content per coarse root dry mass	4	4		4	
648	Coarse root mercury (Hg) content per coarse root dry mass	1	1		1	
650	Coarse root molybdenum (Mo) content per coarse root dry mass	1	1		1	
653	Coarse root nickel (Ni) content per coarse root dry mass	1	1		1	
459	Coarse root nitrogen (N) content per coarse root dry mass	14	14	13	4	
455	Coarse root nitrogen (N) content per unit ground area	6	6	6	1	
620	Coarse root phosphorus (P) content per coarse root dry mass	1	1		1	
646	Coarse root potassium (K) content per coarse root dry mass	1	1		1	
645	Coarse root sodium (Na) content per coarse root dry mass	1	1		1	
647	Coarse root sulfur (S) content per coarse root dry mass	1	1		1	
655	Coarse root thallium (Ti) content per coarse root dry mass	1	1		1	
1019	Coarse root to fine root mass ratio	83		83	17	
1057	Coarse root woody debris (CWD) calcium (Ca) content per root CWD dry mass	33	33	33	9	
1058	Coarse root woody debris (CWD) carbon (C) content per root CWD dry mass	16	16	16	11	
1059	Coarse root woody debris (CWD) carbon/nitrogen (C/N) ratio 	11	11	11	7	
1060	Coarse root woody debris (CWD) cellulose content per root CWD dry mass	4	4	4	4	
1061	Coarse root woody debris (CWD) decomposition rate 	23	23	23	12	
1062	Coarse root woody debris (CWD) decomposition rate constant 	82	82	82	18	
1063	Coarse root woody debris (CWD) density	34	34	34	5	
1064	Coarse root woody debris (CWD) lignin content per root CWD dry mass	4	4	4	4	
1065	Coarse root woody debris (CWD) lignin/nitrogen (N) ratio 	9	9	9	5	
1066	Coarse root woody debris (CWD) magnesium (Mg) content per root CWD dry mass	32	32	32	8	
1067	Coarse root woody debris (CWD) manganese (Mn) content per root CWD dry mass	5	5	5	3	
1262	Coarse root woody debris (CWD) nitrogen (N) content per root CWD dry mass	43	43	43	14	
1068	Coarse root woody debris (CWD) phosphorus (P) content per root CWD dry mass	33	33	33	9	
1069	Coarse root woody debris (CWD) potassium (K) content per root CWD dry mass	33	33	33	9	
1070	Coarse root woody debris (CWD) rot type	5	5	5	1	
1071	Coarse root woody debris (CWD) sodium (Na) content per root CWD dry mass	1	1	1	1	
1072	Coarse root woody debris (CWD) wood fraction 	1	1	1	1	
1073	Coarse root woody debris (CWD) zinc (Zn) content per root CWD dry mass	2	2	2	2	
656	Coarse root zinc (Zn) content per coarse root dry mass	1	1		1	
866	Coarse woody debris (CWD) aluminium (Al) content per CWD dry mass	2	1	2	2	
867	Coarse woody debris (CWD) calcium (Ca) content per CWD dry mass	111	110	76	15	
868	Coarse woody debris (CWD) carbon (C) content per CWD dry mass	110	85	68	23	
432	Coarse woody debris (CWD) carbon/nitrogen (C/N) ratio	106	69	106	40	
426	Coarse woody debris (CWD) cellulose content per CWD dry mass	70	25	70	32	
869	Coarse woody debris (CWD) decomposition rate	118	82	82	67	
870	Coarse woody debris (CWD) decomposition rate constant 	150	138	150	41	
871	Coarse woody debris (CWD) density	221	189	153	28	
872	Coarse woody debris (CWD) iron (Fe) content per CWD dry mass	2	1	2	2	
425	Coarse woody debris (CWD) lignin content per CWD dry mass	134	65	71	33	
873	Coarse woody debris (CWD) lignin/nitrogen (lignin/N) ratio 	9	9	9	3	
874	Coarse woody debris (CWD) magnesium (Mg) content per CWD dry mass	109	108	74	14	
875	Coarse woody debris (CWD) manganese (Mn) content per CWD dry mass	25	24	12	6	
876	Coarse woody debris (CWD) nitrogen (N) content per CWD dry mass	226	201	118	26	
877	Coarse woody debris (CWD) phenolics content per CWD dry mass	1	1	1	1	
878	Coarse woody debris (CWD) phosphorus (P) content per CWD dry mass	159	158	87	20	
879	Coarse woody debris (CWD) potassium (K) content per CWD dry mass	125	124	90	20	
880	Coarse woody debris (CWD) protein content per CWD dry mass	1	1	1	1	
881	Coarse woody debris (CWD) rot type	5	1	5	2	
882	Coarse woody debris (CWD) sodium (Na) content per CWD dry mass	70	70	54	8	
883	Coarse woody debris (CWD) sulfur (S) content per CWD dry mass	20	19	20	4	
884	Coarse woody debris (CWD) water content	9	9	9	2	
885	Cone (strobilus) diameter	1525	1524		22	
886	Cone (strobilus) length	1511	1510		22	
887	Cone (strobilus) litter nitrogen (N) per cone litter dry mass	56	56	56	2	
888	Cone (strobilus) mass	1509	1508		22	
1020	Cone (strobilus) mass per plant	325	325	325	6	
674	Cotyledon carbon (C) content per cotyledon dry mass	20			10	
667	Cotyledon nitrogen (N) content per cotyledon dry mass	20			10	
20	Crown (canopy) area per plant	328	328		150	
889	Crown (canopy) base height (ground to base)	156	156		15	
722	Crown (canopy) density	10	10		10	
773	Crown (canopy) height (base to top)	225	225	42	44	
324	Crown (canopy) length: diameter along the longest axis	6461	5075	355	526	
807	Crown (canopy) mass per ground area	10	10		10	
501	Crown (canopy) nitrogen (N) content per ground area	6	6	6	1	
489	Crown (canopy) radiation extinction coefficient	6	6	6	3	
436	Crown (canopy) rainfall (water) interception 	6	1	6	5	
36	Crown (canopy) surface roughness	31			31	
749	Crown (canopy) transpiration	8	8		2	
325	Crown (canopy) width	6439	5053	328	531	
193	Dispersal distance	5509		102	257	
890	Dispersal frequenzy	321		285	240	
891	Dispersal probability	11	11		11	
28	Dispersal syndrome	354368	817	298180	10045	
892	Dispersal unit appendages	13679		369	2574	
392	Dispersal unit color	47	47		47	
233	Dispersal unit dry mass	5055	183	3614	1671	
893	Dispersal unit exposure 	2662			2529	
1263	Dispersal unit floating capacity	159702		158974	1369	
237	Dispersal unit length	18956	27	16843	3044	
232	Dispersal unit shape	10831		4725	2810	
