"Transect","Collar","Position_m","Position_SN","MainCollar"
"T10",22,72,68,TRUE
"T10",31,15,68,FALSE
"T10",16,32,68,TRUE
"T10",17,40,68,TRUE
"T10",15,24,68,TRUE
"T10",32,16,68,FALSE
"T10",13,12,68,TRUE
"T10",11,0,68,TRUE
"T10",20,60,68,TRUE
"T10",18,44,68,TRUE
"T10",35,19,68,FALSE
"T10",33,17,68,FALSE
"T10",14,20,68,TRUE
"T10",12,4,68,TRUE
"T10",21,64,68,TRUE
"T10",19,52,68,TRUE
"T10",36,20,68,TRUE
"T10",34,18,68,FALSE
"T10",43,27,68,FALSE
"T10",52,36,68,FALSE
"T10",50,34,68,FALSE
"T10",39,23,68,FALSE
"T10",37,21,68,FALSE
"T10",46,30,68,FALSE
"T10",44,28,68,FALSE
"T10",53,37,68,FALSE
"T10",51,35,68,FALSE
"T10",40,24,68,TRUE
"T10",38,22,68,FALSE
"T10",47,31,68,FALSE
"T10",45,29,68,FALSE
"T10",54,38,68,FALSE
"T10",63,47,68,FALSE
"T10",41,25,68,FALSE
"T10",70,54,68,FALSE
"T10",48,32,68,TRUE
"T10",57,41,68,FALSE
"T10",55,39,68,FALSE
"T10",64,48,68,FALSE
"T10",42,26,68,FALSE
"T10",71,55,68,FALSE
"T10",49,33,68,FALSE
"T10",58,42,68,FALSE
"T10",56,40,68,TRUE
"T10",65,49,68,FALSE
"T10",74,58,68,FALSE
"T10",72,56,68,FALSE
"T10",61,45,68,FALSE
"T10",59,43,68,FALSE
"T10",68,52,68,TRUE
"T10",66,50,68,FALSE
"T10",75,59,68,FALSE
"T10",73,57,68,FALSE
"T10",62,46,68,FALSE
"T10",60,44,68,TRUE
"T10",69,53,68,FALSE
"T10",67,51,68,FALSE
"T10",76,60,68,TRUE
"T5",11,0,0,TRUE
"T5",20,60,0,TRUE
"T5",18,44,0,TRUE
"T5",35,19,0,FALSE
"T5",33,17,0,FALSE
"T5",14,20,0,TRUE
"T5",12,4,0,TRUE
"T5",21,64,0,TRUE
"T5",19,52,0,TRUE
"T5",36,20,0,TRUE
"T5",34,18,0,FALSE
"T5",15,24,0,TRUE
"T5",13,12,0,TRUE
"T5",22,72,0,TRUE
"T5",39,23,0,FALSE
"T5",37,21,0,FALSE
"T5",46,30,0,FALSE
"T5",16,32,0,TRUE
"T5",53,37,0,FALSE
"T5",31,15,0,FALSE
"T5",40,24,0,TRUE
"T5",38,22,0,FALSE
"T5",47,31,0,FALSE
"T5",17,40,0,TRUE
"T5",54,38,0,FALSE
"T5",32,16,0,FALSE
"T5",41,25,0,FALSE
"T5",50,34,0,FALSE
"T5",48,32,0,TRUE
"T5",57,41,0,FALSE
"T5",55,39,0,FALSE
"T5",44,28,0,FALSE
"T5",42,26,0,FALSE
"T5",51,35,0,FALSE
"T5",49,33,0,FALSE
"T5",58,42,0,FALSE
"T5",56,40,0,TRUE
"T5",45,29,0,FALSE
"T5",43,27,0,FALSE
"T5",52,36,0,FALSE
"T5",61,45,0,FALSE
"T5",59,43,0,FALSE
"T5",68,52,0,TRUE
"T5",66,50,0,FALSE
"T5",75,59,0,FALSE
"T5",73,57,0,FALSE
"T5",62,46,0,FALSE
"T5",60,44,0,TRUE
"T5",69,53,0,FALSE
"T5",67,51,0,FALSE
"T5",76,60,0,TRUE
"T5",74,58,0,FALSE
"T5",63,47,0,FALSE
"T5",72,56,0,FALSE
"T5",70,54,0,FALSE
"T5",71,55,0,FALSE
"T5",64,48,0,FALSE
"T5",65,49,0,FALSE
"T6",18,44,8,TRUE
"T6",33,17,8,FALSE
"T6",12,4,8,TRUE
"T6",19,52,8,TRUE
"T6",36,20,8,TRUE
