"Year","xxxstd","samp.depth","max","min","sd"
1928,1.11030198656734,2,1.11030198656734,1,0.0348805507994107
1929,1.17568662488273,2,1.17568662488273,1,0.0555569889057037
1930,1.30711417914196,2,1.30711417914196,1,0.0971180307821583
1931,1.02950586209069,2,1.02950586209069,1,0.00933057285334067
1932,0.965721367790747,2,1,0.965721367790747,0.0108398552856449
1933,1.01370612115852,3,1.01353795567247,1,0.00428107747873945
1934,1.01434813668915,3,1,0.917539889097025,0.0260761766563486
1935,1.07212803011381,7,1.08438819815776,0.911635609314478,0.0487674669026463
1936,0.991921291417235,8,1,0.854071138301882,0.057853523531507
1937,1.00716650794313,9,1.05021992630712,0.828033507462686,0.0705678713456021
1938,1.00985042698733,11,1,0.815018341859131,0.0628103475138607
1939,1.03686741435054,14,1.74991429119452,0.951830089000665,0.241413763304558
1940,0.991013986578938,17,1.10619603296475,0.874969966998973,0.0668857212544035
1941,0.93921798679285,22,1.19268006853875,0.962746264182366,0.0733311441644615
1942,1.02857360784077,27,1.14866649200039,1,0.0526879258098515
1943,1.0538024747234,30,1.15227231273326,0.932999156225318,0.0731953920001253
1944,0.995536160301209,32,1.28084095138627,0.881732947130309,0.113315823492769
1945,1.03104612040267,34,1.10171801482417,0.922631113339521,0.0511466887683397
1946,1.00306473152306,37,1.11170670650439,0.939196035708449,0.0512656947501724
1947,1.02597465543075,42,1.07827245124702,0.945309159737997,0.0411259101605225
1948,0.954265336133406,43,1.09480108457172,0.808864724325634,0.0878270867996286
1949,0.914020456361494,44,1.04616304173573,0.819184981367682,0.080865739487414
1950,0.959655432317166,47,1.17233973024461,0.798358577387879,0.110196286127301
1951,0.944100897428921,48,1.06376403867164,0.848857645575119,0.0681694154076028
1952,0.954038251950722,49,0.993283313838004,0.827862199008691,0.0619023589288263
1953,0.900234801821585,50,1.00241030865802,0.833379666509437,0.0687136066540378
1954,0.95574191063926,54,1.165546332885,0.903103409549267,0.088197987421941
1955,0.930464055945462,54,1.09045958676669,0.766677194110254,0.107394977982112
