# "Appendix A allometry data from Alexander et al (2012), doi 10.1890/ES11-00364.1"",,,,,,,,,,,
# "x units are cm, y units are g/tree (or g/tree/year for crown growth)",,,,,,,,,,,
Species,Component,D0_a,D0_b,D0_R2,D0_P001,D0_Obs,DBH_a,DBH_b,DBH_R2,DBH_P001,DBH_Obs
ALSP,Total biomass,32.17,2.54,0.96,TRUE,10,,,,,
ALSP,Stemwood/bark,24.62,2.58,0.97,TRUE,10,,,,,
ALSP,Foliage,1.3,2.37,0.65,TRUE,10,,,,,
ALSP,Live branches,5.38,2.4,0.83,TRUE,10,,,,,
ALSP,Live crown,6.77,2.4,0.81,TRUE,10,,,,,
ALSP,Dead total biomass,22.08,2.59,0.97,TRUE,7,,,,,
BENE,Total biomass,26.29,2.68,0.92,TRUE,25,164.18,2.29,0.98,TRUE,19
BENE,Stemwood/bark,26.81,2.62,0.92,TRUE,25,147.96,2.25,0.98,TRUE,19
BENE,Foliage,0.63,2.65,0.86,TRUE,25,6.39,2.1,0.89,TRUE,19
BENE,Live crown,1.38,3.08,0.89,TRUE,7,15.15,2.49,0.94,TRUE,19
BENE,Crown growth,3.45,2.38,0.47,FALSE,6,10.47,1.92,0.88,TRUE,10
PIGL,Total biomass,53.74,2.45,0.96,TRUE,37,96.77,2.4,0.98,TRUE,58
PIGL,Stemwood/bark,39.13,2.44,0.95,TRUE,37,48.44,2.51,0.98,TRUE,58
PIGL,Foliage,2.59,2.58,0.75,TRUE,29,25.22,2.04,0.78,TRUE,49
PIGL,Live crown,3.01,2.79,0.9,TRUE,37,29.34,2.24,0.83,TRUE,58
PIGL,Crown growth,5.02,1.75,0.56,TRUE,27,7.99,1.62,0.61,TRUE,49
PIMA,Total biomass,37.29,2.4,0.92,TRUE,119,271.46,1.84,0.92,TRUE,78
PIMA,Stemwood/bark,11.38,2.67,0.95,TRUE,119,117.91,1.99,0.95,TRUE,78
PIMA,Foliage,14.61,1.86,0.5,TRUE,98,55.4,1.47,0.5,TRUE,56
PIMA,Live crown,21.64,2.12,0.72,TRUE,120,83.52,1.8,0.72,TRUE,78
PIMA,Crown growth,1.83,1.75,0.5,TRUE,56,5.26,1.55,0.5,TRUE,56
POTR,Total biomass,56.83,2.49,0.96,TRUE,23,134.1,2.26,0.99,TRUE,40
POTR,Stemwood/bark,12.55,2.98,0.99,TRUE,5,64.01,2.51,0.98,TRUE,23
POTR,Foliage,8.73,2,0.93,TRUE,23,18.98,1.53,0.91,TRUE,41
POTR,Live crown,18.16,2.43,0.98,TRUE,5,41.74,1.83,0.83,TRUE,21
POTR,Crown growth,3.45,2.38,0.98,TRUE,5,10.24,1.76,0.91,TRUE,23
POBA,Total biomass,58.29,2.44,0.96,TRUE,17,133.71,2.29,0.96,TRUE,17
POBA,Stemwood/bark,43.35,2.47,0.95,TRUE,17,98.26,2.32,0.96,TRUE,17
POBA,Foliage,11.22,1.76,0.86,TRUE,17,22.16,1.62,0.84,TRUE,17
POBA,Live crown,7.36,2.46,0.93,TRUE,17,17.24,2.3,0.94,TRUE,17
POBA,Crown growth,14.73,1.72,0.86,TRUE,15,27.14,1.6,0.85,TRUE,15
