Use,Site,BurnYear,Edaphic,Species,Number,Height,D0,D10,DBH,OldFol,NewFol,OldBranch,NewBranch,Cones,Stem,HarvestYear,Sapwood,Root
Y,W1981,1981,Wet,T,1,277.0,4.01,3.26,2.02,0.00,71.58,190.88,4.30,0.00,495.64,1999,,
Y,W1981,1981,Wet,T,1,69.0,1.00,0.95,,0.00,4.60,8.70,0.20,0.00,13.30,2000,,
Y,W1981,1981,Wet,T,2,127.0,1.98,1.77,,0.00,25.29,57.34,0.21,0.00,81.39,1999,,
Y,W1981,1981,Wet,T,2,92.0,1.70,1.60,,0.00,12.30,26.40,0.10,0.00,41.50,2000,,
Y,W1981,1981,Wet,T,3,219.0,2.26,2.15,1.04,0.00,40.40,85.40,0.87,0.20,186.70,1999,,
Y,W1981,1981,Wet,T,3,92.0,1.65,1.45,,0.00,7.00,20.30,0.10,0.00,36.60,2000,,
Y,W1981,1981,Wet,T,4,109.0,1.37,1.20,,0.00,10.92,22.68,0.21,0.00,42.64,1999,,
Y,W1981,1981,Wet,T,4,124.0,2.20,1.95,,0.00,15.80,55.10,0.20,0.00,81.40,2000,,
Y,W1981,1981,Wet,T,5,180.0,2.63,2.36,0.72,0.00,63.13,142.76,0.92,0.00,210.38,1999,,
Y,W1981,1981,Wet,T,5,175.0,3.10,2.80,0.95,0.00,36.20,106.20,1.10,0.00,222.10,2000,,
Y,W1981,1981,Wet,T,6,159.0,2.51,2.40,0.62,0.00,53.94,97.92,0.66,0.00,172.85,1999,,
Y,W1981,1981,Wet,T,6,234.0,4.10,3.80,1.90,0.00,94.20,273.90,1.40,0.00,519.50,2000,,
Y,W1981,1981,Wet,T,7,161.0,1.55,1.33,0.21,0.00,20.90,57.30,0.13,0.00,76.77,1999,,
Y,W1981,1981,Wet,T,8,137.0,2.33,1.85,,0.00,52.81,62.86,4.86,0.00,90.30,1999,,
Y,W1981,1981,Wet,T,9,138.0,1.65,1.55,,0.00,32.32,49.69,1.82,0.00,76.04,1999,,
Y,W1981,1981,Wet,T,10,74.0,0.71,0.62,,0.00,6.77,5.22,0.70,0.00,8.65,1999,,
