"Position_m","mean","min","max","sd"
0,75.6666666666667,45,118,24.9447875164818
2.5,77.8333333333333,59,103,16.8453752308064
5,65.6666666666667,45,86,11.5941469036856
7.5,78.3333333333333,60,100,18.8325958557674
10,78.0833333333333,56,124,23.1927039206625
12.5,90.3333333333333,46,128,33.7441352929167
15,76.3333333333333,47,132,26.9825982081157
17.5,88,63,127,23.0997835487695
20,73.4166666666667,53,113,18.8267620608794
22.5,91.5,63,125,22.976074512414
25,79.3333333333333,48,106,18.7535855157612
27.5,90.6666666666667,68,151,30.9041529032372
30,82.8333333333333,52,142,26.8999267769647
32.5,94.3333333333333,70,150,29.3234831946457
35,93,65,151,28.7433786841738
37.5,115.833333333333,102,151,17.7247472948606
40,106.272727272727,77,126,16.8171989884815
42.5,134.4,104,149,17.8969271105405
45,120.636363636364,84,151,26.699336048946
47.5,145.333333333333,134,151,9.81495457622364
50,132.875,89,151,20.6980847975293
52.5,151,151,151,NA
55,126.5,76,151,37.9670910131393
60,131.5,66,151,34.0396827247259
65,132.833333333333,95,151,24.6610353932406
70,147.5,130,151,8.57321409974112
75,137.833333333333,72,151,32.2516149466452
