"Transect","Position_m","npp_gC"
"T10",0,25.4946546435597
"T10",10,38.4215133984405
"T10",20,74.8206701566723
"T10",30,342.719712601408
"T10",40,384.507510710027
"T10",50,558.713193028591
"T10",60,88.9777285306976
"T10",70,250.193730211647
"T5",0,36.3782708517687
"T5",10,47.4363002748472
"T5",20,29.6783090184924
"T5",30,25.8669192263325
"T5",40,48.5668293628232
"T5",50,253.990706065047
"T5",60,188.79844608037
"T5",70,436.045272311526
"T6",0,25.901353725831
"T6",10,24.321631030243
"T6",20,28.3762246941643
"T6",30,28.4535769954578
"T6",40,51.9400815836304
"T6",50,122.568594984853
"T6",60,97.2055677276896
"T6",70,34.2462832427757
"T7",0,25.6127167599312
"T7",10,28.4023456067401
"T7",20,42.675012405355
"T7",30,36.3297415060449
"T7",40,98.6314158009309
"T7",50,529.871164616951
"T7",60,81.8614167913443
"T7",70,452.256140252314
"T8",0,28.7058285226577
"T8",10,55.0525730319974
"T8",20,69.5215475206033
"T8",30,143.706620728008
"T8",40,159.557685527795
"T8",50,168.761466874563
"T8",60,279.831123409667
"T8",70,359.179499921181
"T9",0,22.541732102111
"T9",10,45.830322735294
"T9",20,61.9468931082046
"T9",30,106.832646294879
"T9",40,249.102767069462
"T9",50,518.060405438371
"T9",60,108.880755339145
"T9",70,372.574636340538
