Date,Transect,Position,Species,DBH_cm,Status,Notes
7/31/14,T5,0,PIMA,1.9,Alive,PIMA=Picea mariana; BEPA=Betula papyrifera; ALSP=Alnus spp.
7/31/14,T5,0,PIMA,2.3,Alive,
7/31/14,T5,0,PIMA,3.8,Alive,
7/31/14,T5,0,PIMA,4.0,Alive,
7/31/14,T5,0,PIMA,4.0,Alive,
7/31/14,T5,0,PIMA,2.9,Alive,
7/31/14,T5,0,PIMA,7.9,Alive,
7/31/14,T5,0,PIMA,4.0,Alive,
7/31/14,T5,0,PIMA,1.9,Alive,
7/31/14,T5,0,PIMA,3.4,Alive,
7/31/14,T5,0,PIMA,1.5,Alive,
7/31/14,T5,0,PIMA,2.0,Alive,
7/31/14,T5,0,PIMA,1.8,Alive,
7/31/14,T5,0,PIMA,4.4,Alive,
7/31/14,T5,0,PIMA,2.1,Alive,
7/31/14,T5,0,PIMA,4.5,Alive,
7/31/14,T5,0,PIMA,4.7,Alive,
7/31/14,T5,10,PIMA,3.8,Alive,
7/31/14,T5,10,PIMA,4.3,Alive,
7/31/14,T5,10,PIMA,3.3,Alive,
7/31/14,T5,10,PIMA,2.6,Alive,
7/31/14,T5,10,PIMA,4.0,Alive,
7/31/14,T5,10,PIMA,3.7,Alive,
7/31/14,T5,10,BEPA,4.7,Dead,
7/31/14,T5,10,PIMA,1.2,Alive,
7/31/14,T5,10,PIMA,3.5,Alive,
7/31/14,T5,10,PIMA,4.0,Alive,
7/31/14,T5,10,PIMA,3.6,Alive,
7/31/14,T5,10,PIMA,4.4,Alive,
7/31/14,T5,10,PIMA,4.5,Alive,
7/31/14,T5,10,PIMA,1.0,Alive,
7/31/14,T5,10,PIMA,3.1,Alive,
7/31/14,T5,10,PIMA,5.1,Alive,
7/31/14,T5,10,PIMA,4.1,Alive,
7/31/14,T5,10,PIMA,4.5,Alive,
7/31/14,T5,10,PIMA,2.2,Alive,
7/31/14,T5,10,PIMA,8.4,Alive,
7/31/14,T5,10,PIMA,2.0,Alive,
7/31/14,T5,10,PIMA,1.5,Alive,
7/31/14,T5,10,PIMA,2.0,Alive,
7/31/14,T5,20,PIMA,3.4,Alive,
7/31/14,T5,20,PIMA,2.0,Alive,
7/31/14,T5,20,PIMA,2.4,Alive,
7/31/14,T5,20,PIMA,3.9,Alive,
7/31/14,T5,20,PIMA,1.5,Alive,
7/31/14,T5,20,PIMA,5.8,Alive,
7/31/14,T5,20,PIMA,6.4,Alive,
7/31/14,T5,20,PIMA,4.0,Alive,
7/31/14,T5,20,PIMA,3.4,Alive,
7/31/14,T5,20,PIMA,5.9,Alive,
7/31/14,T5,20,PIMA,3.0,Alive,
7/31/14,T5,20,PIMA,1.0,Alive,
7/31/14,T5,20,PIMA,3.3,Alive,
7/31/14,T5,20,PIMA,2.1,Alive,
7/31/14,T5,30,PIMA,4.4,Alive,
7/31/14,T5,30,PIMA,4.8,Alive,
7/31/14,T5,30,PIMA,1.0,Alive,
7/31/14,T5,30,PIMA,1.5,Alive,
7/31/14,T5,30,PIMA,3.0,Alive,
7/31/14,T5,30,PIMA,1.5,Alive,
7/31/14,T5,30,PIMA,4.3,Alive,
7/31/14,T5,30,PIMA,3.9,Alive,
7/31/14,T5,30,PIMA,2.0,Alive,
7/31/14,T5,30,PIMA,2.6,Alive,
7/31/14,T5,30,PIMA,2.7,Alive,
7/31/14,T5,30,PIMA,3.0,Alive,
7/31/14,T5,30,PIMA,1.5,Alive,
7/31/14,T5,30,PIMA,1.5,Alive,
7/31/14,T5,30,PIMA,2.3,Alive,
7/31/14,T5,30,PIMA,4.0,Alive,
7/31/14,T5,30,PIMA,2.8,Alive,
7/31/14,T5,40,PIMA,2.5,Alive,
7/31/14,T5,40,PIMA,4.1,Alive,
7/31/14,T5,40,PIMA,5.7,Alive,
7/31/14,T5,40,PIMA,4.5,Alive,
7/31/14,T5,40,PIMA,2.5,Alive,
7/31/14,T5,40,PIMA,5.9,Alive,
7/31/14,T5,40,PIMA,2.8,Alive,
7/31/14,T5,40,PIMA,4.0,Alive,
7/31/14,T5,40,PIMA,4.6,Alive,
7/31/14,T5,40,PIMA,2.0,Alive,
7/31/14,T5,40,PIMA,2.0,Alive,
7/31/14,T5,40,PIMA,3.9,Alive,
7/31/14,T5,40,PIMA,2.8,Alive,
7/31/14,T5,40,PIMA,5.2,Alive,
7/31/14,T5,40,PIMA,3.8,Alive,
7/31/14,T5,40,PIMA,4.0,Alive,
7/31/14,T5,40,PIMA,2.7,Alive,
7/31/14,T5,40,PIMA,5.3,Alive,
7/31/14,T5,40,PIMA,2.1,Alive,
7/31/14,T5,40,PIMA,1.0,Alive,
7/31/14,T5,40,PIMA,4.9,Alive,
7/31/14,T5,40,PIMA,3.8,Alive,
7/31/14,T5,40,PIMA,2.0,Alive,
7/31/14,T5,40,PIMA,2.7,Alive,
7/31/14,T5,40,PIMA,2.8,Alive,
7/31/14,T5,40,PIMA,7.7,Alive,
7/31/14,T5,50,PIMA,7.3,Dead,
7/31/14,T5,50,PIMA,12.2,Alive,
7/31/14,T5,50,PIMA,7.6,Alive,
7/31/14,T5,50,PIMA,14.4,Alive,
7/31/14,T5,50,PIMA,11.1,Alive,
